question_id,unit,question_text,marks
Q017,Unit II,"Realize the given 4-variable expression using 8-to-1 multiplexer as well as 4-
to-1 multiplexer.
f(w,x,y,z)= ?(2,5,6,7,9,12,13,15)",8
Q018,Unit II,"Using OR and/or NOR gates along with 3-to-8 decoder to implement the
following functions. The gates should be selected so as to minimize the
number of inputs.
i) f1(x,y,z)=?M(1,2,5)
 f2(x,y,z)= ?M (0,1,3,5,7)
ii) f1(x,y,z)= ?m(1,3)
 f2(x,y,z)= ?m (1,2,4,5,7)
Assume all the 8 output lines of the decoder are active high signals",6
Q019,,Explain Programmable Array Logic with a neat diagram.,6
Q020,,"Design the PROM for the following function.
f1(x,y,z)= ?m(0,1,2,5,7)
f2(x,y,z)= ?m(1,2,4,6)",6
Q021,,"Design a PLA 4x5x2 i.e 4 inputs, 5 AND gates and 2 OR gates for the
following functions.
f1(w,x,y,z)= ?m(2,4,5,10,12,13,14)
f2(w,x,y,z)= ?m(2,9,10,11,13,14,15) ",8
Q022,Unit III,"Explain the working of positive edge triggered JK flip flop with the help of a neat diagram. Also, demonstrate the timing diagram for the same",8
Q023,Unit III,"Derive the characteristic equations for
i) SR Flip Flop
ii) D Flip Flop
iii) JK Flip Flop
iv) T Flip Flop
Also represent all the above flip flops using state transition diagram.",8
Q024,Unit III,Differentiate Ring Counter and switched tail counter.,4
Q025,Unit III,"Demonstrate the working of serial-in, serial-out 4-bit shift register with the
help of a neat diagram.",6
Q026,Unit III,"Design a 4 bit sequence detector using D Flip Flop to detect a pattern ?1010?
in the input sequence.",8
Q027,Unit III,With a neat diagram explain the working of SR Flip Flop realized using NAND gates.,6
Q028,,List the different types of Registers. Explain Serial In Parallel Out with neat diagram.,6
Q029,,Explain the working of Master-Slave JK flip flop with timing diagram.,6
Q030,,"Derive the characteristic equation for SR flip flop, JK flip flop and D flip flop.",8
Q031,Unit IV,Design a 3 bit asynchronous up- down counter using JK Flip Flop.,8
Q032,Unit IV,"Design a synchronous mod-6 counter using JK flip-flops for the following
counting sequence:
000, 010, 011, 110, 101, 001 and then back to 000",12
Q033,Unit V,Design a MOD-6 synchronous up counter using JK flip flop,10
Q034,Unit V,"Given the state transition diagram using Moore Model design the sequence
detector that receives the binary data with the pattern ?011?.
Note: Consider data coming from Left to Right",10
Q035,Unit V,"Design a synchronous up counter using JK flip flop for the given sequence
2,3,7,5,6,4",10
Q036,Unit V,"Design a sequence detector that receives binary data stream at its input X and
signals when a combination ?011? arrives at the input by making its output , Y
high which otherwise remains low. Consider data coming from Left to Right
i.e first bit to be identified is 1, second 1 and third 0 from the input sequence.
Design the above sequence detector using Mealy Model",10
Q037,Unit V,Design a synchronous sequential circuit using Moore Model for the sequence detector to detect 3 or more consecutive 1?s in the given sequence.,8
Q038,Unit V,"Obtain the reduced state table for the state diagram given below using
i) Row elimination method
ii) Implication table method",8
Q039,Unit V,Differentiate Moore model and Mealy model.,
